Req #	Category	Request	Published Preliminary Decision	Meeting Decision
17.094	DME	"Request to establish a new Level II HCPCS code to identify a Functional Vibrotactile Stimulation Device System, Trade Name: WalkJoy.

Applicant’s suggested language: ""Functional Stimulation Device System”."	"This request to establish a new Level II HCPCS code to separately identify the WalkJoy device (functional Vibrotactile Stimulation Device System) has not been approved. This product is an integral part of a procedure, and payments for that service includes payment for the WalkJoy device if it is used."	"This request to establish a new Level II HCPCS code to separately identify the WalkJoy device (functional Vibrotactile Stimulation Device System) has not been approved. For Medicare, this product is an integral part of a procedure, and payments for that service includes payment for the WalkJoy device if it is used. Non-Medicare insurers did not identify a national program operating need to establish a new code. "
17.095	S & O	"Request to establish a new Level II HCPCS code to identify an alternating pressure geri chair cushion, Trade Name: Relief Chair Alternating Pressure Geri Chair Cushion.

Applicant did not suggest language for a code."	"This request to establish a new Level II HCPCS code to separately identify the Relief Chair Alternating Pressure w/LAL and IPS Geri Chair Cushion has not been approved. Existing code E2610 ""Wheelchair seat cushion, powered"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"Geri chairs include cushioning. Existing code A9900 ""Miscellaneous DME supply, accessory, and/or service component of another HCPCS code"" is available for assignment by insurers to report the Relief Chair cushion, if they deem appropriate. Separate billing for any cushion could be considered duplicative and inappropriate."
17.096	S & O	"Request to establish a new Level II HCPCS code to identify an enteral feeding supply kit, full closed for bolus or gravity feeding, with no-spill valve. Trade Name: Safe-T Feed Ready-to-Feed Pouch with ENFit Safety Connector.

Applicant’s suggested language: BXXXX ""Enteral feeding supply kit, full closed for bolus or gravity feeding, with no-spill valve.""Disposable, single-use feeding pouch (with pre-filled formula), includes Enfit nutrition connector and a spill-proof valve to prevent leakage and allow for storage after opening if the formula is not completely used."""	"This request to establish a new Level II HCPCS code to separately identify the Safe-T- Feed Ready-to-Feed Pouch with ENFit Safety Connector has not been approved. Existing code B4034 ""Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"" or B4036 ""Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"", depending on the type of feeding, adequately describes this product."	"This request to establish a new Level II HCPCS code to separately identify the Safe-T- Feed Ready-to-Feed Pouch with ENFit Safety Connector has not been approved. Existing code B4034 ""Enteral feeding supply kit; syringe fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"" or B4036 ""Enteral feeding supply kit; gravity fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"", depending on the type of feeding, adequately describes this product."
17.097	S & O	"Request to assign existing Level II HCPCS code B4161 to a Ready-to-Feed Peptide Formula for enteral feeding, Trade Name: Ultrient Junior Peptide 1.0 Calorie Pediatric Enteral Nutrition Formula.

 "	"Existing code B4161 ""Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the Ultrient Junior Peptide 1.0 Calorie Pediatric Enteral Nutrition Formula. Code B4161 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

"	"Existing code B4161 ""Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the Ultrient Junior Peptide 1.0 Calorie Pediatric Enteral Nutrition Formula. Code B4161 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

"
17.098	O & P	"Request to establish a new Level II HCPCS code to identify a fully-adjustable ergonomic cane, and to consider it an orthotic. Trade Name: Ergocane.

Applicant does not suggest coding language."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request. "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new HCPCS code to identify the product that is the subject of this request."
17.099	S & O	"Request to assign existing Level II HCPCS code B4154 to Ultrient Junior 2.0, Trade Name: Ultrient for Renal Health.

 

 "	"Existing code B4154 ""Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes Ultrient 2.0 Calorie for Renal Health. Code B4154 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

"	"Existing code B4154 ""Enteral formula, nutritionally complete, for special metabolic needs, excludes inherited disease of metabolism, includes altered composition of proteins, fats, carbohydrates, vitamins and/or minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes Ultrient 2.0 Calorie for Renal Health. Code B4154 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

"
17.100	S & O	"Request to establish a new Level II HCPCS code to identify a replaceable pump device used to empty the female urinary bladder, Trade Name: InFlow Intraurethral Valve-Pump and Activator.

Applicant's suggested language: LXXXX, Female Urinary Prosthesis, replaceable.

 "	"This request to establish a new Level II HCPCS code to separately identify the inFlow Intraurethral Valve-Pump and Activator has not been approved. Existing code A4335 ""Incontinence supply; miscellaneous"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"A national program operating need to establish a code for the InFlow devicet was not identified by Medicare, Medicaid or the Private Insurance Sector. Existing code A4335 is available for assignment by insurers if they deem appropriate. "
17.102	S & O	"Request to establish a new Level II HCPCS code to identify wearable moist-heat or cooling breastfeeding relief packs. Trade Name: Rachel's Remedy.

Applicant's suggested language: ""Moist heat device for use prior to or during use with breast pump.""
"	"This request to establish a new Level II HCPCS code to separately identify Rachel's Remedy Breastfeeding Relief Packs has not been approved. Existing code A9273 ""Hot water bottle, ice cap or collar, heat and/or cold wrap, any type"" adequately describes the product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify Rachel's Remedy Breastfeeding Relief Packs has not been approved. Existing code A9273 ""Hot water bottle, ice cap or collar, heat and/or cold wrap, any type"" adequately describes the product and is available for assignment by insurers if they deem appropriate."
17.103	S & O	"Repeat request to establish two new Level II HCPCS codes and to revise two existing Level II HCPCS codes in order to distinguish SpeediCath and other hydrophilic-coated intermittent urinary catheters from intermittent urinary catheters that are not coated, and currently share the same codes.

Applicants suggested language:

Establish ""AXXXX - Hydrophilic-coated intermittent urinary catheter; straight tip, with sterile lubricating coating, each"".

""Establish AXXXX - Hydrophilic-coated intermittent urinary catheter; Coudé tip, with sterile lubricating coating, each"".

Revise A4351, which currently reads, ""Intermittent urinary catheter; straight tip, with or without coating (Teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"", to instead read,  ""Intermittent urinary catheter; straight tip, without coating (Teflon, silicone, silicone elastomer, etc.), each.""

Revise A4352, which currently reads, ""Intermittent urinary catheter; Coudé tip, with or without coating (Teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"", to instead read, ""Intermittent urinary 
 "	"This request to establish two new Level II HCPCS codes to separately identify hydrophilic coated urinary catheters has not been approved. Existing code A4351 ""Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"" or A4352 ""Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each"", depending on whether the catheter has a straight or curved tip, adequately describe the products that are subject of this request."	"This request to establish two new Level II HCPCS codes to separately identify hydrophilic coated urinary catheters has not been approved. Existing code A4351 ""Intermittent urinary catheter; straight tip, with or without coating (teflon, silicone, silicone elastomer, or hydrophilic, etc.), each"" or A4352 ""Intermittent urinary catheter; coude (curved) tip, with or without coating (teflon, silicone, silicone elastomeric, or hydrophilic, etc.), each"", depending on whether the catheter has a straight or curved tip, adequately describe the products that are subject of this request."
		"catheter; Coudé tip, without coating (Teflon, silicone, silicone elastomer, etc.), each."""		
17.104	Drug & Biol	"Request to establish a new level II HCPCS code to identify a human fibroblast-derived temporary wound cover, Trade Name: TransCyte.

Applicant's suggested language: Qxxxx,"" TransCyte, any type, per square centimeter""."	"Establish QXXXX, ""TransCyte, per square centimeter"". "	"Establish Q4182, ""TransCyte, per square centimeter"""
17.105	O & P	"Request to revise existing Level II HCPCS codes L8618 and L8628 to include auditory osseointegrated implants (AOI) devices. Trade name: Cochlear Baha Coil Cables and Cochlear Baha Remote Control 2.

1. Revise existing Level II HCPCS code L8618, which currently reads, ""Transmitter cable for use with cochlear implant device, replacement"", to instead read, ""Transmitter cable for use with cochlear implant device and auditory osseointegrated devices (AOI), replacement (each).""

2. Revise existing Level II HCPCS code L8628, which currently reads, ""Cochlear implant, external controller component, replacement"", to instead read, ""Cochlear implant and auditory osseointegrated devices (AOI), external controller component, replacement""."	"1) Revise existing L8618, which currently reads, ""Transmitter cable for use with cochlear implant device, replacement"", to instead read, ""Transmitter cable for use with cochlear implant device or auditory osseointegrated device, replacement"". 

2) A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to revise existing code L8628 ""Cochlear implant, external controller component, replacement"" to include the use with auditory osseointegrated devices (AOI). For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"1) Revise existing L8618, which currently reads, ""Transmitter cable for use with cochlear implant device, replacement"", to instead read, ""Transmitter cable for use with cochlear implant device or auditory osseointegrated device, replacement"". 

2) A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to revise existing code L8628 ""Cochlear implant, external controller component, replacement"" to include use with the auditory osseointegrated devices (AOI). For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."
17.106	O & P	"Request to revise existing Level II HCPCS code L8624 to include use with auditory osseointegrated (AOI) devices, Trade Name: CP910 and CP920 Rechargeable batteries; standard and compact.

Applicant's suggest language:

1) Revise existing Level II HCPCS code L8624, which currently reads, ""Lithium ion battery for use with cochlear implant device speech processor, ear level, replacement, each"", to instead read, ""Lithium ion battery for use with cochlear implant and auditory osseointegrated device speech processor, ear level, replacement, each"".

2) Request to establish a new Level II HCPCS code to identify a Lithium Ion battery charger, Trade Name: Cochlear Nucleus CP800 Series Battery Charger.

Applicant's suggested language:

LXXXX:"" Battery charger for Lithium rechargeable battery for cochlear implant speech processor and AOI"".
"	"1) Revise existing code L8624, which currently reads, ""Lithium ion battery for use with cochlear implant device speech processor, ear level, replacement, each"", to instead read, ""Lithium ion battery for use with cochlear implant or auditory osseointegrated device speech processor, ear level, replacement, each"". 

2) Establish LXXXX, ""External recharging system for battery for use with cochlear implant or auditory osseointegrated device, replacement only, each"". 

"	"1) Revise existing code L8624, which currently reads, ""Lithium ion battery for use with cochlear implant device speech processor, ear level, replacement, each"", to instead read, ""Lithium ion battery for use with cochlear implant or auditory osseointegrated device speech processor, ear level, replacement, each""

2) Establish L8625, ""External recharging system for battery for use with cochlear implant or auditory osseointegrated device, replacement only, each""

 "
17.107	O & P	"Request to establish a new Level II HCPCS code to identify a replacement actuator (transducer) for use with the Baha 5 SuperPower Sound Processor system auditory osseointegrated (AOI) device. Trade Name: Baha 5 SuperPower Actuator unit

Applicant's suggested language: LXXXX ""auditory osseointegrated device (AOI) actuator, replacement (each)"". "	"1) Revise existing code L8691, which currently reads, ""Auditory osseointegrated device, external sound processor, replacement"", to instead read, ""Auditory osseointegrated device, external sound processor, excludes transducer/actuator, replacement only, each"".

2) Establish LXXXX, ""Auditory osseointegrated device, transducer/actuator, replacement only, each""."	"1) Revise existing code L8691, which currently reads, ""Auditory osseointegrated device, external sound processor, replacement"", to instead read, ""Auditory osseointegrated device, external sound processor, excludes transducer/actuator, replacement only, each"".

2) Establish L8694, ""Auditory osseointegrated device, transducer/actuator, replacement only, each""."
17.108	O & P	"Request to establish a new Level II HCPCS code to identify a movable Hypobaric Membrane suspension system for transtibial and transfemoral amputees. Trade Name: Ossurr Movable Hypobaric Membrane.

Applicant's suggested language: LXXXX, ""Addition to lower extremity, below knee/above knee movable hypobaric membrane suspension mechanism with proximal and distal adjustability, excludes socket insert."""	"Establish LXXXX ""Gasket or seal, for use with prosthetic socket insert, any type, each""."	"Establish L7700, ""Gasket or seal, for use with prosthetic socket insert, any type, each""."
17.109	DME	"Request to establish two new Level II HCPCS codes to identify: 1) the Kangaroo ePump Enteral Feeding Pump and Enteral Feeding sets; and 2) the Kangaroo Joey Enteral Feed and Flush Pump and Enteral Feeding sets.

Applicant's suggested language:

BXXXX: ""Enteral nutrition infusion pump - nutrition, hydration, and flushing"".

BXXXX: ""Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing, hydration, administration tubing, dressing, tape"".

 "	"1) The Kangaroo Joey Enteral Feed and Flush Pump and the Kangaroo ePump, if used in the home, are adequately described by the existing code B9002 ""Enteral nutrition infusion pump, any type"", which is available for assignment by insurers if they deem appropriate.

2) The supply kit for the Kangaroo Joey Enteral Feed and Flush Pump is adequately described by the existing code B4035 ""Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"". The code B4035 is available for assignment by insurers if they deem appropriate. B4035 includes any supplies necessary for flushing if it is done.

3) A national program operating need was not identified by Medicare, Medicaid, or the Private Insurance sector to establish a new HCPCS code to identify the Kangaroo ePump Enteral Feeding Pump, because it is institutional equipment, as reported in the application. As such, it is not eligible for inclusion in the HCPCS Level II code set."	"1) The Kangaroo Joey Enteral Feed and Flush Pump and the Kangaroo ePump Enteral Feeding Pump, if used in the home, are adequately described by the existing code B9002 ""Enteral nutrition infusion pump, any type"". The code B9002 is available for assignment by insurers if they deem appropriate.

2) The supply kit for the Kangaroo Joey Enteral Feed and Flush Pump is adequately described by the existing code B4035 ""Enteral feeding supply kit; pump fed, per day, includes but not limited to feeding/flushing syringe, administration set tubing, dressings, tape"". The code B4035 is available for assignment by insurers if they deem appropriate. B4035 includes any supplies necessary for flushing if it is done."
17.110	O & P	"Request to establish a new Level II HCPCS code to identify a robotic manipulator arm which attaches to a wheelchair or tabletop, and is for use by persons with limited upper extremity mobility who also use a power wheelchair: Trade name: JACO.

Applicant does not suggest coding language.

 

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the JACO robotic arm. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"A national program operating need has not been identified by Medicare, Medicare, or Private Insurers. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed."
17.111	S & O	"Request to establish a new Level II HCPCS code to identify a powered arm support. Trade Name: GoWing.

 "	"This request to establish a new Level II HCPCS code to separately identify the Go Wing powered arm support has not been approved. Existing code E2626 ""Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Go Wing powered arm support has not been approved. Existing code E2626 ""Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable"" adequately describes this product and is available for assignment by insurers if they deem appropriate."
17.112	S & O	"Request to assign existing Level II HCPCS code B4150 to a nutritional shake for medical malnutrition, Trade Name: ENU Nutritional Shake."	"Existing code B4150 ""Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the ENU Nutritional Shake. Code B4150 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

"	"Existing code B4150 ""Enteral formula, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"" adequately describes the ENU Nutritional Shake. Code B4150 is available for assignment by insurers if they deem appropriate. When the product is administered orally, the HCPCS modifier BO ""Orally administered nutrition, not by feeding tube"" should also be used.

The HCPCS Level II codes describe categories of like items. The code set is not intended to be an exhaustive listing of all products on the market. While CMS believes that existing code B4150 describes this product, as a general rule CMS does not classify individual items into code categories on behalf of insurers. Individual insurers have the necessary flexibility to classify specific products into HCPCS Level II code categories and establish their own coding instructions in accordance with their policies and program operating needs. Questions regarding classification of products into HCPCS Level II code categories should be submitted to the insurer in whose jurisdiction a claim would be filed."
17.113	O & P	"Request to establish a new Level II HCPCS code to identify a wearable, adjustable pelvic compression device used in the treatment of menstrual pain symptoms, Trade Name: Ziivaa.

Applicant's suggested language:

hip orthosis, prefabricated, plastic, abduction control of hip joints, flexible, prefabricated, padded, trochanteric pad, ultra-light material pelvic band, lock pelvic control, hip joint, band and belt, micro adjustment, macro adjustment.
 "	"This request to establish a new Level II HCPCS code to separately identify the Ziivaa Adjustable Compression device has not been approved. Existing code A4467 ""Belt, strap, sleeve, garment, or covering, any type"" adequately describes the Ziivaa pelvic compression device, and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Ziivaa Adjustable Compression device has not been approved. Existing code A4467 ""Belt, strap, sleeve, garment, or covering, any type"" adequately describes the product and is available for assignment by insurers if they deem appropriate.

 "
17.114	O & P	"Request to establish 2 new Level II HCPCS codes, one each, to identify the head mounted telemetry and video data collection system, and the Video Processing Unit (VPU), for use with an implanted Epiretinal Prothesis System, Trade Name: Argus II Retinal System.

Applicant's suggested language:

LXXXX Head mounted telemetry and video data collection system;

LXXXX Video processing unit (VPU) for use with an implanted retinal prosthesis"	"This request to establish two unique Level II HCPCS codes to identify external, patient-worn replacement components for the Argus II Retinal System has not been approved.

Existing code C1841 ""Retinal prosthesis, includes all internal and external components"" identifies the entire prosthesis, including all internal and external components.

Existing code V2799 ""Vision item or service, miscellaneous"" is available for assignment by insurers to identify the replacement head mounted telemetry system and the replacement VPU."	"This request to establish 2 new Level II HCPCS codes to separately identify the head-mounted telemetry and video data collection system, and the video processing unit (VPU) for use with an implanted retinal prosthesis has not been approved. Reported sales volume for each of these components is insufficient to support a request for a revision to the national code set. In accordance with HCPCS coding criteria as published on CMS’ HCPCS website, there must be sufficient claims activity or volume, as evidenced by 3 months of marketing activity, so that adding a new code enhances the efficiency of the system and justifies the administrative burden of adding the code.
Existing code C1841 ""Retinal prosthesis, includes all internal and external components"" identifies the entire prosthesis, including all internal and external components, and can be used to report Hospital Outpatient PPS claims to Medicare.
Existing code V2799 ""Vision item or service, miscellaneous"" is available for assignment by insurers to identify the replacement head mounted telemetry system and the replacement VPU, if they deem appropriate.
CMS is reviewing the DMEPOS Jurisdiction List for 2018, pertaining to jurisdiction for code V2799."
17.115	S & O	"Request to establish a new Level II HCPCS code to identify test strips for Artificial Pancreas Device System Integrated Blood Glucose Meter, Trade Name: CONTOUR NEXT test strips.

Applicant's suggested language: ""Blood glucose meter strips, PMA approved, for blood glucose meters wirelessly integrated with Artificial Pancreas Device Systems (APDS)""."	"This request to establish a new Level II HCPCS code to separately identify Contour NEXT test strips has not been approved. Existing code A4253 ""Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify Contour NEXT test strips has not been approved. Existing code A4253 ""Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips"" adequately describes this product and is available for assignment by insurers if they deem appropriate."
17.116	S & O	"Request to establish a new Level II HCPCS code to identify an artificial pancreas device system integrated blood glucose meter. Trade Name: CONTOUR NEXT LINK 2.4 Blood Glucose Monitoring System.

Applicant's suggested language: ""Blood glucose meter, PMA-approved and wirelessly integrated with Artificial Pancreas Device Systems (APDS)""."	"This request to establish a new Level II HCPCS code to separately identify the Contour NEXT Link 2.4 blood glucose meter has not been approved. Existing code E0607 ""Home blood glucose monitor"" adequately describes this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Contour NEXT Link 2.4 blood glucose meter has not been approved. Existing code E0607 ""Home blood glucose monitor"" adequately describes this product and is available for assignment by insurers if they deem appropriate."
17.117	O & P	"Request to:

(1) establish a new Level II HCPCS code to identify a Prosthetic Arm Cover, Trade Name: Freedom Arm Cover;

(2) establish a new Level II HCPCS code to identify an Ankle Foot Orthosis, Trade Name: James' Ankle Foot Orthotic (JAFO);

(3) assign existing code L2820 ""Addition to the lower extremity orthosis, soft interface for molded plastic, below knee section""  to the JAFO pad (as a soft interface); and

(4) assign existing codes L5704 ""Custom shaped protective cover, below knee"" and L5705 ""Custom shaped protective cover, above knee"" to the JAFO.

No coding language was suggested by the applicant.
"	"This request to establish four new Level II HCPCS codes to identify the James' Ankle Foot Orthotic (JAFO) and one new code to identify the Freedom Arm Cover has not been approved. Existing code A4467 ""Belt, strap, sleeve, garment, or covering, any type"" adequately describes all items included in this application and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to identify the James' Ankle Foot Orthotic (JAFO) and one new code to identify the Freedom Arm Cover has not been approved. Existing code A4467 ""Belt, strap, sleeve, garment, or covering, any type"" adequately describes the JAFO and the Freedom Arm Cover.  These  codes are available for assignment by insurers if they deem appropriate."
17.118	DME	"Request to establish a new HCPCS Level II code to identify a foot box that is ""prefabricated, full, with or without divider with fixed attaching hardware"". Trade Name: Sunrise Medical's Jay Full Foot Box with or without divider.

Applicant's suggested language: EXXXX - ""Wheelchair positioning accessory, foot box, prefabricated, full, with or without divider with fixed attaching hardware""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the full foot box. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"Establish E0954, ""Wheelchair accessory, foot box, any type, includes attachment and mounting hardware, each foot""."
17.119	DME	"Request to establish a new HCPCS Level II code to identify single (individual) foot box technology. Trade Name: Sunrise Medical's Jay Single Foot Box.

Applicant's suggested language: EXXXX - ""Wheelchair positioning accessory, foot box, prefabricated, single, with fixed attaching hardware, each"".

 "	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the single foot box. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor.
"	"Establish E0954, ""Wheelchair accessory, foot box, any type, includes attachment and mounting hardware, each foot""."
17.120	DME	"Request to establish a new HCPCS Level II code to identify custom-fabricated foot box technology. Trade Name: Jay Your Way custom foot box technology.

Applicant's suggested language: EXXXX - ""Wheelchair positioning accessory, foot box, custom fabricated with fixed attaching hardware""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify a custom foot box. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"Establish E0954, ""Wheelchair accessory, foot box, any type, includes attachment and mounting hardware, each foot""."
17.121	DME	"Request to revise existing Level II HCPCS code A9277, adding the language ""1 unit = 1 day"", and to assign the revised code to identify a transmitter for use with Dexcom G5 Mobile Continuous Glucose Monitoring System and G4 PLATINUM Continuous Monitoring System (both adult and pediatric models).

Applicant's suggested language: Revise A9277, which currently reads, ""Transmitter; external, for use with interstitial continuous glucose monitoring system"", to instead read, ""Transmitter; external, for use with interstitial continuous glucose monitoring system, 1 unit = 1 day""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to revise the descriptor of existing code A9277. For therapeutic CGMs, refer to new code K0553."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to revise the descriptor of existing code A9277. For therapeutic CGMs, newly code K0553 ""Supply allowance for therapeutic continuous glucose monitor (CGM), includes all supplies and accessories, 1 month supply = 1 Unit Of Service"", effective 07/01/2017, is available for assignment for insurers if they deem appropriate."
17.122	DME	"Request to establish a new Level II HCPCS code to identify retrofit rear wheel suspension kits for tilt-in-space wheelchairs. Trade Name: QuadshoX Wheelchair Suspension Kit.

Applicant's suggested language: ""retrofit suspension kits, wheelchairs""."	"This request to establish a new Level II HCPCS code to separately identify the QuadshoX Wheelchair Suspension Kit has not been approved. Existing code E1015 ""Shock absorber for manual wheelchair, each"" adequately describes the function of this product and is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the QuadshoX Wheelchair Suspension Kit has not been approved. Existing code E1015 ""Shock absorber for manual wheelchair, each"" adequately describes the function of this product and is available for assignment by insurers if they deem appropriate."
17.123	DME	"Request to establish a new HCPCS Level II code to identify a foot box that is ""prefabricated, full, with or without divider with fixed attaching hardware"". Trade Name: Adaptive Engineering Lab Foot Box.

Applicant's suggested language: ""Wheelchair positioning accessory, foot box, prefabricated, full, with or without divider with fixed attaching hardware""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the full foot box that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"Establish E0954, ""Wheelchair accessory, foot box, any type, includes attachment and mounting hardware, each foot""."
17.124	DME	"Request to establish a new HCPCS Level II code to identify a foot box that is ""prefabricated, single, with fixed attaching hardware"". Trade Name: Adaptive Engineering Lab Foot Box.

Applicant's suggested language: ""Wheelchair positioning accessory, foot box, prefabricated, single, with fixed attaching hardware, each""."	"A national program operating need was not identified by Medicare, Medicaid, or the private insurance sector to establish a new Level II HCPCS code to identify the single foot box that is the subject of this request. For coding guidance, contact the insurer in whose jurisdiction a claim would be filed. For Medicaid, contact the Medicaid Agency in the state in which a claim would be filed. For private insurance, contact the individual private insurance entity. For Medicare, contact the Medicare contractor."	"Establish E0954, ""Wheelchair accessory, foot box, any type, includes attachment and mounting hardware, each foot""."
17.125	DME	"Request to establish a new Level II HCPCS code to identify a hand-held intrapulmonary acoustical airway clearance device. Trade Name: Vibralung Acoustical Percussor.

Applicant’s suggested language: ""Intrapulmonary Acoustical Airway Clearance""."	"This request to establish a new Level II HCPCS code to separately identify a hand-held Vibralung Acoustical Percussor has not been approved. Existing code E0480 ""Percussor, electric or pneumatic, home model"" adequately describes this product, and it is available for assignment by insurers if they deem appropriate."	"This request to establish a new Level II HCPCS code to separately identify the Vibralung Acoustical Percussor has not been approved. Existing code E0480 ""Percussor, electric or pneumatic, home model"" adequately describes this product, and it is available for assignment by insurers if they deem appropriate."
				
